date,price_close,price_open,price_high,price_low,price_daily_return,price_cum_return,price_cum_return_pct
2023-04-04,3281.02,3265.23,3289.26,3256.46,0.00635833008720077,-0.06290842206278535,-6.290842206278535
2023-04-06,3277.9,3274.84,3291.72,3264.73,-0.0009509237980871443,-0.06379952474523287,-6.379952474523288
2023-04-11,3315.75,3301.19,3324.36,3294.65,0.011547027060007986,-0.052989192523873685,-5.2989192523873685
2023-04-12,3344.73,3321.74,3347.23,3313.01,0.008740104048857722,-0.044712219531139574,-4.471221953113957
2023-04-13,3343.03,3327.63,3347.76,3312.34,-0.000508262251362579,-0.0451977562491398,-4.519775624913979
2023-04-14,3369.3,3354.0,3372.87,3347.52,0.007858140668794533,-0.037694785906864925,-3.7694785906864925
2023-04-17,3431.57,3367.03,3439.46,3357.86,0.018481583711750238,-0.019909861536348883,-1.9909861536348883
2023-04-18,3433.04,3426.97,3448.13,3421.24,0.00042837535005846306,-0.019490015080195655,-1.9490015080195655
2023-04-19,3399.27,3433.67,3433.67,3394.75,-0.009836762752545858,-0.029135059178354128,-2.913505917835413
2023-04-20,3423.96,3397.1,3429.34,3388.55,0.007263324184310083,-0.02208335237398551,-2.208335237398551
2023-04-21,3394.58,3422.7,3457.17,3381.75,-0.00858070771854813,-0.03047456930036674,-3.047456930036674
2023-04-24,3395.5,3399.54,3414.67,3370.19,0.0002710202734947931,-0.03021180825297831,-3.021180825297831
2023-04-25,3384.42,3395.46,3413.37,3370.64,-0.003263142394345442,-0.033376365215003645,-3.3376365215003645
2023-04-26,3388.28,3376.2,3395.03,3360.57,0.0011405203845857859,-0.032273911255308985,-3.2273911255308985
2023-04-27,3420.64,3381.52,3432.34,3370.4,0.009550568429999684,-0.023031577023256866,-2.3031577023256866
2023-04-28,3451.02,3432.53,3475.37,3426.33,0.008881378923242478,-0.014354750262757787,-1.4354750262757787
2023-05-02,3469.02,3472.74,3502.17,3434.7,0.005215849227184988,-0.009213773248637258,-0.9213773248637258
2023-05-03,3432.74,3446.87,3448.33,3411.48,-0.010458285048803417,-0.019575698030431354,-1.9575698030431354
2023-05-04,3550.92,3429.73,3553.29,3427.44,0.03442730879705436,0.014177672165611499,1.41776721656115
2023-05-05,3579.49,3558.51,3609.07,3555.69,0.008045802214637243,0.022337545126357217,2.2337545126357217
2023-05-08,3664.18,3583.74,3668.33,3582.64,0.023659795110476667,0.046525841977794524,4.652584197779452
2023-05-09,3619.55,3667.66,3703.88,3609.78,-0.012180078489593793,0.03377907508111666,3.377907508111666
2023-05-10,3574.81,3623.84,3623.84,3560.72,-0.012360652567308117,0.02100089110268577,2.100089110268577
2023-05-11,3553.51,3580.79,3589.17,3538.24,-0.005958358626052762,0.014917401635976546,1.4917401635976546
2023-05-12,3474.79,3550.43,3550.43,3470.68,-0.022152744750964626,-0.007565804505777485,-0.7565804505777485
2023-05-15,3518.4,3471.21,3529.47,3448.17,0.012550398729131773,0.0048896403601002,0.48896403601002003
2023-05-16,3507.03,3531.94,3546.94,3490.45,-0.003231582537516986,0.001642256546180887,0.1642256546180887
2023-05-17,3452.26,3501.06,3511.69,3448.28,-0.015617203160509074,-0.014000594068451555,-1.4000594068451555
2023-05-18,3509.76,3470.76,3524.35,3470.76,0.016655755939587458,0.002421971393322453,0.2421971393322453
